SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,7607 8th Ave,Los Angeles,CA,90043,998000,3,2.0,PHHT - Park Hills Heights,1678,4502,1932,2,595,,Active,,,https://www.redfin.com/CA/Los-Angeles/7607-8th-Ave-90043/home/6427134,CRMLS,SB25062224,N,Y,33.9706532,-118.3267799
MLS Listing,,Condo/Co-op,400 S Broadway #1011,Los Angeles,CA,90013,725000,1,1.0,C42 - Downtown L.A.,752,36291,2019,2,964,816,Active,,,https://www.redfin.com/CA/Los-Angeles/400-S-Broadway-90013/unit-1011/home/173209431,CRMLS,SB25062673,N,Y,34.0492873,-118.2493361
MLS Listing,,Single Family Residential,16059 Sunburst St,North Hills,CA,91343,859000,3,2.0,NOH - North Hills,1756,6853,1956,2,489,,Active,,,https://www.redfin.com/CA/North-Hills/16059-Sunburst-St-91343/home/5716698,CRMLS,SR25062476,N,Y,34.2348137,-118.4826783
MLS Listing,,Condo/Co-op,15549 S Budlong Pl #24,Gardena,CA,90247,585000,3,2.0,119 - Central Gardena,1304,37220,1962,2,449,489,Active,,,https://www.redfin.com/CA/Gardena/15549-S-Budlong-Pl-90247/unit-24/home/7329782,CRMLS,SB25059103,N,Y,33.8896271,-118.2956443
MLS Listing,,Single Family Residential,503 W 79th St,Los Angeles,CA,90044,975000,3,2.0,C36 - Metropolitan Southwest,900,6502,2006,2,1083,,Active,,,https://www.redfin.com/CA/Los-Angeles/503-W-79th-St-90044/home/17241931,CRMLS,SB25053691,N,Y,33.9680121,-118.2829701
MLS Listing,,Single Family Residential,1926 Tambor Ct,Rowland Heights,CA,91748,888888,3,2.5,652 - Rowland Heights,2086,7861,1982,2,426,,Active,,,https://www.redfin.com/CA/Rowland-Heights/1926-Tambor-Ct-91748/home/7865489,CRMLS,PF25058110,N,Y,33.9850475,-117.9106869
MLS Listing,,Single Family Residential,25339 Via Dona Christa,Valencia,CA,91355,1099000,4,2.5,Tempo (TMPO),2043,5490,1972,2,538,,Active,,,https://www.redfin.com/CA/Valencia/25339-Via-Dona-Christa-91355/home/6060577,CRMLS,BB25060056,N,Y,34.3962338,-118.5424436
MLS Listing,,Condo/Co-op,12664 Chapman Ave #1316,Garden Grove,CA,92840,599000,2,2.0,Chapman Villas (CHAV),1200,197354,2007,2,499,604,Active,,,https://www.redfin.com/CA/Garden-Grove/12664-Chapman-Ave-92840/unit-1316/home/17472974,CRMLS,OC25058188,N,Y,33.7880187,-117.9124966
MLS Listing,,Condo/Co-op,1620 Neil Armstrong St #304,Montebello,CA,90640,375000,1,1.0,Montebello,646,208139,1973,3,580,410,Active,March-25-2025 11:00 AM,March-25-2025 02:00 PM,https://www.redfin.com/CA/Montebello/1620-Neil-Armstrong-St-90640/unit-304/home/6985865,TheMLS,25514287,N,Y,34.0376352,-118.0944741
MLS Listing,,Single Family Residential,2625 N Main St,Los Angeles,CA,90031,628000,2,1.0,677 - Lincoln Hts,591,2042,1911,3,1063,,Active,,,https://www.redfin.com/CA/Los-Angeles/2625-N-Main-St-90031/home/6947657,CRMLS,BB25059595,N,Y,34.0662121,-118.2145815
